
Interrupt method selected.

Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple.

Please, press PB0 to continue.
966, 483, 9953, 231, 0, 0
968, 484, 9962, 231, 0, 0
970, 485, 9968, 231, 0, 0
972, 486, 9970, 231, 0, 0
974, 487, 9971, 231, 0, 0
976, 488, 9995, 231, 0, 0
978, 489, 9988, 231, 0, 0
980, 490, 9999, 231, 0, 0
982, 491, 10008, 231, 0, 0
984, 492, 10023, 231, 0, 0
986, 493, 10053, 231, 0, 0
988, 494, 10099, 231, 0, 0
990, 495, 10079, 231, 0, 0
992, 496, 10060, 231, 0, 0
994, 497, 10040, 231, 0, 0
996, 498, 10084, 231, 0, 0
998, 499, 10086, 231, 0, 0
1000, 500, 10084, 231, 0, 0
1002, 501, 10094, 231, 0, 0
1004, 502, 10111, 231, 0, 0
1006, 503, 10111, 231, 0, 0
1008, 504, 10119, 231, 0, 0
1010, 505, 10130, 231, 0, 0
1012, 506, 10141, 231, 0, 0
1014, 507, 10120, 231, 0, 0
1016, 508, 10162, 231, 0, 0
1018, 509, 10177, 231, 0, 0
1020, 510, 10173, 231, 0, 0
1022, 511, 10197, 231, 0, 0
1024, 512, 10194, 231, 0, 0
1026, 513, 10210, 231, 0, 0
1028, 514, 10214, 231, 0, 0
1030, 515, 10216, 231, 0, 0
1032, 516, 10221, 231, 0, 0
1034, 517, 10238, 231, 0, 0
1036, 518, 10273, 231, 0, 0
1038, 519, 10255, 231, 0, 0
1040, 520, 10263, 231, 0, 0
1042, 521, 10293, 231, 0, 0
1044, 522, 10280, 231, 0, 0
1046, 523, 10301, 231, 0, 0
1048, 524, 10283, 231, 0, 0
1050, 525, 10304, 231, 0, 0
1052, 526, 10309, 231, 0, 0
1054, 527, 10319, 231, 0, 0
1056, 528, 10393, 231, 0, 0
1058, 529, 10373, 231, 0, 0
1060, 530, 10356, 231, 0, 0
1062, 531, 10335, 231, 0, 0
1064, 532, 10355, 231, 0, 0
1066, 533, 10381, 231, 0, 0
1068, 534, 10364, 231, 0, 0
1070, 535, 10376, 231, 0, 0
1072, 536, 10381, 231, 0, 0
1074, 537, 10405, 231, 0, 0
1076, 538, 10387, 231, 0, 0
1078, 539, 10413, 231, 0, 0
1080, 540, 10415, 231, 0, 0
1082, 541, 10454, 231, 0, 0
1084, 542, 10432, 231, 0, 0
1086, 543, 10443, 231, 0, 0
1088, 544, 10449, 231, 0, 0
1090, 545, 10462, 231, 0, 0
1092, 546, 10463, 231, 0, 0
1094, 547, 10475, 231, 0, 0
1096, 548, 10482, 231, 0, 0
1098, 549, 10503, 231, 0, 0
1100, 550, 10483, 231, 0, 0
1102, 551, 10504, 231, 0, 0
1104, 552, 10508, 231, 0, 0
1106, 553, 10515, 231, 0, 0
1108, 554, 10521, 231, 0, 0
1110, 555, 10531, 231, 0, 0
1112, 556, 10530, 231, 0, 0
1114, 557, 10543, 231, 0, 0
1116, 558, 10544, 231, 0, 0
1118, 559, 10552, 231, 0, 0
1120, 560, 10560, 231, 0, 0
1122, 561, 10572, 231, 0, 0
1124, 562, 10598, 231, 0, 0
1126, 563, 10637, 231, 0, 0
1128, 564, 10617, 231, 0, 0
1130, 565, 10599, 231, 0, 0
1132, 566, 10580, 231, 0, 0
1134, 567, 10617, 231, 0, 0
1136, 568, 10615, 231, 0, 0
1138, 569, 10616, 231, 0, 0
1140, 570, 10624, 231, 0, 0
1142, 571, 10639, 231, 0, 0
1144, 572, 10638, 231, 0, 0
1146, 573, 10649, 231, 0, 0
1148, 574, 10655, 231, 0, 0
1150, 575, 10663, 231, 0, 0
1152, 576, 10664, 231, 0, 0
1154, 577, 10681, 231, 0, 0
1156, 578, 10706, 231, 0, 0
1158, 579, 10698, 231, 0, 0
1160, 580, 10708, 231, 0, 0
1162, 581, 10704, 231, 0, 0
1164, 582, 10718, 231, 0, 0
1166, 583, 10720, 231, 0, 0
1168, 584, 10720, 231, 0, 0
1170, 585, 10728, 231, 0, 0
1172, 586, 10736, 231, 0, 0
1174, 587, 10767, 231, 0, 0
1176, 588, 10750, 231, 0, 0
1178, 589, 10758, 231, 0, 0
1180, 590, 10784, 231, 0, 0
1182, 591, 10771, 231, 0, 0
1184, 592, 10790, 231, 0, 0
1186, 593, 10783, 231, 0, 0
1188, 594, 10788, 231, 0, 0
1190, 595, 10798, 231, 0, 0
1192, 596, 10803, 231, 0, 0
1194, 597, 10810, 231, 0, 0
1196, 598, 10847, 231, 0, 0
1198, 599, 10830, 231, 0, 0
1200, 600, 10813, 231, 0, 0
1202, 601, 10829, 231, 0, 0
1204, 602, 10828, 231, 0, 0
1206, 603, 10850, 231, 0, 0
1208, 604, 10846, 231, 0, 0
1210, 605, 10843, 231, 0, 0
1212, 606, 10869, 231, 0, 0
1214, 607, 10870, 231, 0, 0
1216, 608, 10871, 231, 0, 0
1218, 609, 10880, 231, 0, 0
1220, 610, 10907, 231, 0, 0
1222, 611, 10890, 231, 0, 0
1224, 612, 10898, 231, 0, 0
1226, 613, 10905, 231, 0, 0
1228, 614, 10917, 231, 0, 0
1230, 615, 10913, 231, 0, 0
1232, 616, 10927, 231, 0, 0
1234, 617, 10921, 231, 0, 0
1236, 618, 10925, 231, 0, 0
1238, 619, 10929, 231, 0, 0
1240, 620, 10947, 231, 0, 0
1242, 621, 10958, 231, 0, 0
1244, 622, 10956, 231, 0, 0
1246, 623, 10964, 231, 0, 0
1248, 624, 10971, 231, 0, 0
1250, 625, 10966, 231, 0, 0
1252, 626, 10984, 231, 0, 0
1254, 627, 10978, 231, 0, 0
1256, 628, 10985, 231, 0, 0
1258, 629, 10991, 231, 0, 0
1260, 630, 11000, 231, 0, 0
1262, 631, 11022, 231, 0, 0
1264, 632, 11056, 231, 0, 0
1266, 633, 11039, 231, 0, 0
1268, 634, 11021, 231, 0, 0
1270, 635, 11005, 231, 0, 0
1272, 636, 11037, 231, 0, 0
1274, 637, 11037, 231, 0, 0
1276, 638, 11035, 231, 0, 0
1278, 639, 11040, 231, 0, 0
1280, 640, 11055, 231, 0, 0
1282, 641, 11051, 231, 0, 0
1284, 642, 11058, 231, 0, 0
1286, 643, 11064, 231, 0, 0
